Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,"Satellite detected waters extents, as of 15 December 2019 over Kota Tinggi and Mersing District, Johor State of Malaysia","UNOSAT code: FL20191217MYS  This map illustrates satellite-detected surface water in Kota Tinggi and Mersing district, Johor state of Malaysia as observed from Sentinel-1 imagery acquired on 15 December 2019. Within the analysed extent of about 1,300 km2, a total about 8 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from Sentinel-1 imagery acquired on 15 December 2019 may seriously underestimate the presence of standing floodwater in built-up areas due to backscattering of the radar signal",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-06-03,"December 19, 2019-December 19, 2019",2019-2019,Malaysia,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-15-december-2019-over-kota-tinggi-and-mersing-district-johor-state-of,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-15-december-2019-over-kota-tinggi-and-mersing-district-johor-state-of,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment of San Pascual Municipality, Northeastern Part of the Masbate Region, Bicol Region Province","UNOSAT code: TC20191202PHL  This map illustrates satellite-based structural damage assessment in San Pascual municipality in the northeastern part of Masbate region, Bicol Region province, in the Philippines. The area was affected by Typhoon Kammuri that made landfall on 3 December 2019. UNITAR-UNOSAT identified 16 potentially damaged structures around San Pascual town, in the San Pascual municipality, within the extent of this map. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"December 16, 2019-December 16, 2019",2019-2019,Philippines,?,?,?,https://data.humdata.org/dataset/damage-assessment-of-san-pascual-municipality-northeastern-part-of-the-masbate-region-bico,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-of-san-pascual-municipality-northeastern-part-of-the-masbate-region-bico,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Potential  impact caused by landslides over Humya city, Bwanba County, Budibungyo District, Western Region, Uganda","UNOSAT code: LS20191209UGA  This map illustrates satellite-detected landslide at in Humya city, Bwanba County, Budibungyo District, Western Region, as seen on Pleiades-1 satellite imagery, 50 cm resolution, collected on 12 December 2019.
The landslides and mudflows hit Humyai along the main streams of Bwanba County.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,geodata|landslides - mudslides,2020-06-03,"December 13, 2019-December 13, 2019",2019-2019,Uganda,?,?,?,https://data.humdata.org/dataset/potential-impact-caused-by-landslides-over-humya-city-bwanba-county-budibungyo-district-we,?,?,?,?,?,https://data.humdata.org/dataset/potential-impact-caused-by-landslides-over-humya-city-bwanba-county-budibungyo-district-we,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 10 December 2019, over Epéna District, Likouala  Department, Republic of Congo","UNOSAT code: FL20191205COG  This map illustrates satellite-detected waters in Epéna District, Likouala Department in Republic of Congo, as observed from Sentinel-1 imagery acquired on 10 December 2019. Within the analysed area of about 30,500 km2, based on Worldpop population data and the detected surface waters, about 7,000 people are potentially exposed or living close to flooded areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important note: Flood analysis from SAR Sentinel-1 images may significantly underestimate the presence of standing waters in built up and/or densely vegetated areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-06-03,"December 11, 2019-December 11, 2019",2019-2019,Congo,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-10-december-2019-over-epena-district-likouala-department-republic-of-c,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-10-december-2019-over-epena-district-likouala-department-republic-of-c,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Landslides assessment in Pokot South and Sigor Sub Counties West Pokot County, Kenya",UNOSAT code: LS20191125KEN  This map illustrates satellite-detected landslides in Pokot South and Sigor Sub counties located in West Pokot county (Kenya) as detected from a Pleiades-1 image acquired on 28 November 2019. Several roads in the valley have been affected and at least 5 bridges were destroyed. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.,eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,geodata|landslides - mudslides,2020-06-03,"November 29, 2019-November 29, 2019",2019-2019,Kenya,?,?,?,https://data.humdata.org/dataset/landslides-assessment-in-pokot-south-and-sigor-sub-counties-west-pokot-county-kenya,?,?,?,?,?,https://data.humdata.org/dataset/landslides-assessment-in-pokot-south-and-sigor-sub-counties-west-pokot-county-kenya,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Cox's Bazar District - Refugee Camp WASH Infrastructure Coding 2019,"In early 2019, UNICEF and the Cox's Bazar WASH sector identified a need to comprehensively map key WASH infrastructure using physical unique identifier (UUID) tags, in order to produce a database containing information about each piece of infrastructure across the camps. The objectives of this effort were to facilitate accurate, consistent spatial identification of unique infrastructure by all interested actors, to provide a baseline ‘snapshot’ of WASH infrastructure functionality at the time of coding, and to establish a common dataset to be used by all partners. The core infrastructure being covered by this exercise includes tubewells, latrines, and bathing facilities.",eng,REACH Initiative,?,?,,bangladesh - rohingya refugee crisis - 2017-|geodata|water sanitation and hygiene - wash,2020-05-17,"April 09, 2019-November 29, 2019",2019-2019,Bangladesh,?,?,?,https://data.humdata.org/dataset/cox-s-bazar-district-refugee-camp-wash-infrastructure-coding-2019,?,?,?,?,?,https://data.humdata.org/dataset/cox-s-bazar-district-refugee-camp-wash-infrastructure-coding-2019,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
railway IN ('rail','station')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|railways|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_railways,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_railways,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,education|education facilities - schools|geodata,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_education_facilities,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_education_facilities,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_sea_ports,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_sea_ports,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|points of interest - poi,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_points_of_interest,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_points_of_interest,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
place IN ('isolated_dwelling','town','village','hamlet','city')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|populated places - settlements,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_populated_places,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_populated_places,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
building IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,buildings|geodata,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_buildings,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_buildings,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_airports,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_airports,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|rivers|water bodies - hydrography,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_waterways,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_waterways,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,financial institutions|geodata|services,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_financial_services,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_financial_services,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
highway IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|roads|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_roads,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_roads,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Southern Region] Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|health|health facilities,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_health_facilities,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_south_health_facilities,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Railways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
railway IN ('rail','station')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|railways|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_railways,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_railways,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Sea Ports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity = 'ferry_terminal' OR building = 'ferry_terminal' OR port IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|logistics|ports|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_sea_ports,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_sea_ports,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Buildings (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
building IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,buildings|geodata,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_buildings,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_buildings,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Roads (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
highway IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|roads|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_roads,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_roads,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Points of Interest (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IS NOT NULL OR man_made IS NOT NULL OR shop IS NOT NULL OR tourism IS NOT NULL
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,facilities and infrastructure|geodata|points of interest - poi,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_points_of_interest,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_points_of_interest,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Populated Places (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
place IN ('isolated_dwelling','town','village','hamlet','city')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|populated places - settlements,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_populated_places,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_populated_places,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Airports (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
aeroway IS NOT NULL OR building = 'aerodrome' OR emergency:helipad IS NOT NULL OR emergency = 'landing_site'
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,airports|aviation|facilities and infrastructure|geodata|helicopter landing zone - hlz|transportation,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_airports,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_airports,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Health Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
healthcare IS NOT NULL OR amenity IN ('doctors','dentist','clinic','hospital','pharmacy')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|health|health facilities,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_health_facilities,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_health_facilities,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Waterways (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
waterway IS NOT NULL OR water IS NOT NULL OR natural IN ('water','wetland','bay')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,geodata|rivers|water bodies - hydrography,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_waterways,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_waterways,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Financial Services (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IN ('mobile_money_agent','bureau_de_change','bank','microfinance','atm','sacco','money_transfer','post_office')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,financial institutions|geodata|services,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_financial_services,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_financial_services,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,HOTOSM Ireland [Northern Region] Education Facilities (OpenStreetMap Export),"OpenStreetMap exports for use in GIS applications.
This theme includes all OpenStreetMap features in this area matching:
amenity IN ('kindergarten','school','college','university') OR building IN ('kindergarten','school','college','university')
Features may have these attributes:
This dataset is one of many OpenStreetMap exports on
HDX.
See the Humanitarian OpenStreetMap Team website for more
information.",eng,Humanitarian OpenStreetMap Team (HOT),?,?,,education|education facilities - schools|geodata,2020-04-20,"April 20, 2020-April 20, 2020",2020-2020,Ireland,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_education_facilities,?,?,?,?,?,https://data.humdata.org/dataset/hotosm_irl_north_education_facilities,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Evaluación de necesidades de agua, saneamiento e higiene en el marco del flujo mixto de frontera, para el fortalecimiento de las mesas WASH en los departamentos de Arauca, Norte de Santander, La Guajira y Nariño.","Caracterización que realizó iMMAP y UNICEF entre Marzo y Mayo del 2019 en los departamentos de Arauca, La Guajira, Norte de Santander y Nariño. Se comparte un subgrupo de la muestra del estudio completo (incluye información de Asentamientos, Albergues y Refugios), que comprende información primaria recolectada por IMMAP.",eng,iMMAP,?,?,,affected area|affected facilities|affected population|migrants|migration|refugees,2020-02-27,"April 08, 2019-May 31, 2019",2019-2019,Colombia,?,?,?,https://data.humdata.org/dataset/caracterizacion-wash-2019,?,?,?,?,?,https://data.humdata.org/dataset/caracterizacion-wash-2019,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 5 November 2019 over Basse-Kotto Prefectures of the Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface water in Ouaka and Basse-Kotto Prefectures of the Central African Republic, as observed from Sentinel-1 imagery acquired on 5 November 2019. Within the analysed extent of about 970 km2, a total about  9 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR -UNOSAT.
Important note: Flood analysis with Sentinel-1 imagery may notably underestimate the presence of standing water in built up areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-12-18,"November 13, 2019-November 13, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-5-november-2019-over-basse-kotto-prefectures-of-the-central-african-re,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-5-november-2019-over-basse-kotto-prefectures-of-the-central-african-re,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters extents, as of 5 November 2019 over Ouaka Prefecture of Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface water in Ouaka Prefecture of Central African Republic, as observed from Sentinel-1 imagery acquired on 5 November 2019. Within the analysed extent of about 2,000 km2, a total about 10 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR -UNOSAT.
Important note: Flood analysis with Sentinel-1 imagery may notably underestimate the presence of standing water in built up areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-12-18,"November 13, 2019-November 13, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-5-november-2019-over-ouaka-prefecture-of-central-african-republic,?,?,?,?,?,https://data.humdata.org/dataset/waters-extents-as-of-5-november-2019-over-ouaka-prefecture-of-central-african-republic,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents, as of 5 November 2019 over Basse-Kotto Prefecture of the Central African Republic","UNOSAT code: FL20191028CAF  This map illustrates satellite-detected surface waters in Basse-Kotto Prefecture of the Central African Republic, as observed from Sentinel-1 imagery acquired on 5 November 2019. Within the analysed extent of about 390 km2, a total of about  7 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR -UNOSAT.
Important note: Flood analysis with Sentinel-1 imagery may notably underestimate the presence of standing water in built up areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-12-18,"November 13, 2019-November 13, 2019",2019-2019,Central African Republic,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-5-november-2019-over-basse-kotto-prefecture-of-the-central-african-rep,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-5-november-2019-over-basse-kotto-prefecture-of-the-central-african-rep,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite-detected water extents as of 30 October 2019, over Beled Weyne District, Hiraan Region in Somalia","UNOSAT code: FL20191030SOM  This map illustrates satellite-detected surface water in Beled Weyne District, Hiraan Region in Somalia analyzed with Sentinel-1
imagery acquired on 30 October 2019. Within the analysed extent of about 2,500 km2, a total of about 155 km2 of land appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important note: Flood analysis based on 
Sentinel-1 imagery may significantly 
underestimate the presence of standing floodwater in dense built-up areas due to backscattering of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2019-12-06,"October 31, 2019-October 31, 2019",2019-2019,Somalia,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-30-october-2019-over-beled-weyne-district-hiraan-region-in-somalia,?,?,?,?,?,https://data.humdata.org/dataset/water-extents-as-of-30-october-2019-over-beled-weyne-district-hiraan-region-in-somalia,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
